sheet	row	values
Tabela de verificações	35	|=D35&E35|0015|=D34+1|ESTAMPO UNICO PARA ESTATOR|Molas almofada – Verificar / Substituir |50000
Tabela de verificações	36	|=D36&E36|0016|=D35+1|ESTAMPO UNICO PARA ESTATOR|Molas almofada – Verificar / Substituir |500000
Tabela de verificações	37	|=D37&E37|0017|=D36+1|ESTAMPO UNICO PARA ESTATOR|Placa pisadora e extratora - Verificar paralelismo e deformações - Retificar se necessário|500000
Tabela de verificações	38	|=D38&E38|0018|=D37+1|ESTAMPO UNICO PARA ESTATOR|Parafusos, verificar condições das roscas e substituir de necessário|200000
Tabela de verificações	39	|=D39&E39|0019|=D38+1|ESTAMPO UNICO PARA ESTATOR|Pinos - Verificar quanto a folga e deformações - Substituir se necessário|500000
Tabela de verificações	40	|=D40&E40|0020|=D39+1|ESTAMPO UNICO PARA ESTATOR|Saídas de cavaco - Verificar obstruções e rebarbas|25000
combinação	1	||||||Item|Tipo da lâmina|Descrição do Item para Verificação|Meta N de Golpes|||||||
combinação	2	||||||1|BLANK SEGMENTADO PARA ESTATOR|Matrizes entalhes de solda - trincas, fixação, altura útil e afiação|25000|||||||
combinação	3	||||||1|ESTAMPO UNICO PARA ESTATOR|Matrizes entalhes de solda - trincas, fixação, altura útil e afiação|25000|||||||
combinação	4	||||||1|BLANK QUADRADO + FURO PARA ROTOR|Matrizes furo do eixo - trincas, fixação, altura útil e afiação|25000|||||||
combinação	5	||||||1|BLANK PARA ESTATOR E ROTOR INTEIRIÇO|Matrizes furo do eixo - trincas, fixação, altura útil e afiação|25000|||||||
combinação	6	||||||1|RANHURADOR WUhU|Matrizes de ranhura - trincas, fixação, altura útil e afiação|100000|||||||
combinação	7	||||||1|RANHURADOR PADRÃO CANECA|Matrizes de ranhura - trincas, fixação, altura útil e afiação|40000|||||||
combinação	8	||||||1|FURO DE VENTILAÇÃO|Matrizes entalhes de solda - trincas, fixação, altura útil e afiação|25000|||||||
combinação	9	||||||2|BLANK SEGMENTADO PARA ESTATOR|Punções entalhes de solda - trincas, fixação e altura útil e afiação|25000|||||||
combinação	10	||||||2|ESTAMPO UNICO PARA ESTATOR|Punções entalhes de solda - trincas, fixação e altura útil e afiação|25000|||||||
combinação	11	||||||2|BLANK QUADRADO + FURO PARA ROTOR|Punções furo do eixo - trincas, fixação e altura útil e afiação|25000|||||||
combinação	12	||||||2|BLANK PARA ESTATOR E ROTOR INTEIRIÇO|Punções furo do eixo - trincas, fixação e altura útil e afiação|25000|||||||
combinação	13	||||||2|RANHURADOR WUhU|Punções de ranhuras - trincas, fixação e altura útil e afiação|100000|||||||
combinação	14	||||||2|RANHURADOR PADRÃO CANECA|Punções de ranhuras - trincas, fixação e altura útil e afiação|40000|||||||
combinação	15	||||||2|FURO DE VENTILAÇÃO|Punções entalhes de solda - trincas, fixação e altura útil e afiação|25000|||||||
combinação	16	||||||3|BLANK SEGMENTADO PARA ESTATOR|Matriz corte externo - trincas, fixação, altura útil e afiação|25000|||||||
combinação	17	||||||3|ESTAMPO UNICO PARA ESTATOR|Matrizes ranhuras - trincas, fixação, altura útil e afiação|25000|||||||
combinação	18	||||||3|BLANK QUADRADO + FURO PARA ROTOR|Matrizes aletas refrigeração - trincas, fixação, altura útil e afiação|25000|||||||
combinação	19	||||||3|BLANK PARA ESTATOR E ROTOR INTEIRIÇO|Matrizes aletas refrigeração - trincas, fixação, altura útil e afiação|25000|||||||
combinação	20	||||||3|RANHURADOR WUhU|Matrizes aparador- trincas, fixação, altura útil e afiação|100000|||||||
combinação	21	||||||3|RANHURADOR PADRÃO CANECA|Matrizes aparador- trincas, fixação, altura útil e afiação|40000|||||||
combinação	22	||||||3|FURO DE VENTILAÇÃO|Matriz corte externo - trincas, fixação, altura útil e afiação|25000|||||||
combinação	23	||||||4|BLANK SEGMENTADO PARA ESTATOR|Punção corte externo - trincas, fixação e altura útil e afiação|25000|||||||
combinação	24	||||||4|ESTAMPO UNICO PARA ESTATOR|Punções ranhuras - trincas, fixação e altura útil e afiação|25000|||||||
combinação	25	||||||4|BLANK QUADRADO + FURO PARA ROTOR|Punções aletas de refrigeração - trincas, fixação e altura útil e afiação|25000|||||||
combinação	26	||||||4|BLANK PARA ESTATOR E ROTOR INTEIRIÇO|Punções aletas de refrigeração - trincas, fixação e altura útil e afiação|25000|||||||
combinação	27	||||||4|RANHURADOR WUhU|Punções aparador - trincas, fixação e altura útil e afiação|100000|||||||
combinação	28	||||||4|RANHURADOR PADRÃO CANECA|Punções aparador - trincas, fixação e altura útil e afiação|40000|||||||
combinação	29	||||||4|FURO DE VENTILAÇÃO|Punção corte externo - trincas, fixação e altura útil e afiação|25000|||||||
